ID,N_VICTIMAS,FECHA_x,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Cruce,COMUNA,pos x,pos y,PARTICIPANTES,ACUSADO,ROL,VICTIMA_y,SEXO,EDAD
2016-0001,1,2016-01-01,4.0,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,True,8,-58.47533969,-34.68757022,MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,19.0
2016-0002,1,2016-01-02,1.0,AV GRAL PAZ  Y AV DE LOS CORRALES,GRAL PAZ,True,9,-58.50877521,-34.66977709,AUTO-PASAJEROS,PASAJEROS,CONDUCTOR,AUTO,MASCULINO,70.0
2016-0003,1,2016-01-03,7.0,AV ENTRE RIOS 2034,AVENIDA,False,1,-58.39040293,-34.63189362,MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,30.0
2016-0004,1,2016-01-10,0.0,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,AVENIDA,True,8,-58.46503904,-34.68092974,MOTO-SD,,CONDUCTOR,MOTO,MASCULINO,18.0
2016-0005,1,2016-01-21,5.0,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ,AVENIDA,True,1,-58.38718297,-34.6224663,MOTO-PASAJEROS,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,29.0
2016-0008,1,2016-01-24,18.0,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,True,8,-58.44451316,-34.68475866,MOTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,30.0
2016-0009,1,2016-01-24,19.0,NOGOYA Y JOAQUIN V. GONZALES,CALLE,True,11,-58.50095869,-34.6082544,MOTO-AUTO,AUTO,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,29.0
2016-0010,1,2016-01-29,15.0,AV GENERAL PAZ Y AV DE LOS CORRALES,GRAL PAZ,True,9,-58.50877521,-34.66977709,MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,18.0
2016-0012,1,2016-02-08,1.0,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,True,1,-58.38048577,-34.61303893,MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,MASCULINO,22.0
2016-0013,1,2016-02-10,11.0,AV ENTRE RIOS 1366,AVENIDA,False,1,-58.39114932,-34.62477387,PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,16.0
